sample,,AMP,,AZI,,CEF,,FOX,,CAZ,,FUR,,CHL,,CIP,,COL,,GEN,,MERO,,NAL,,STR,,SMX,,SXT,,SUL,,TET,,TIG,,TRI
S10905-92,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,=,0.06,<=,4,=,64,>,1024,=,0.5,>,256,=,32,<=,0.25,<=,0.25
S10423-92,>,64,=,8,<=,0.25,=,16,=,1,=,2,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,>,64,>,1024,>,4,>,256,<=,4,<=,0.25,>,32
S08411-93,>,64,=,4,<=,0.25,=,4,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
S10543-93,>,64,=,8,<=,0.25,=,4,<=,0.5,=,1,>,128,=,0.03,<=,1,=,32,<=,0.03,<=,4,>,64,>,1024,>,4,>,256,>,32,<=,0.25,>,32
S00795-02,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,=,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,16,>,1024,>,4,>,256,<=,4,<=,0.25,>,32
S03622-02,=,2,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,=,8,=,8,=,16,<=,0.12,=,256,<=,4,=,0.5,<=,0.25
S06290-02,>,64,=,8,<=,0.25,=,4,<=,0.5,=,1,=,128,=,0.5,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,>,4,>,256,<=,4,=,0.5,>,32
S09211-02,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,=,32,<=,0.25,<=,0.25
S07487-96,=,2,=,8,<=,0.25,=,8,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,4,=,64,<=,0.12,=,128,>,32,<=,0.25,=,0.5
S07497-96,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,=,0.25,>,256,<=,4,<=,0.25,<=,0.25
S08761-96,=,4,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,8,=,64,<=,0.12,=,256,>,32,<=,0.25,=,0.5
S11013-96,=,2,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,<=,0.015,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,<=,4,<=,0.25,=,0.5
S04246-97,=,2,=,8,<=,0.25,=,4,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,8,>,1024,>,4,>,256,>,32,=,0.5,>,32
S04790-97,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,>,64,>,1024,=,0.5,>,256,>,32,=,0.5,=,0.5
S08887-98,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.25,<=,1,<=,0.5,=,0.06,>,128,=,8,=,32,<=,0.12,=,32,<=,4,<=,0.25,<=,0.25
S05339-97,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,<=,4,<=,0.25,<=,0.25
S08457-97,<=,1,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,8,=,32,<=,0.12,=,64,<=,4,<=,0.25,<=,0.25
S09137-97,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
S01591-98,=,2,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,16,<=,8,<=,0.12,<=,16,<=,4,<=,0.25,<=,0.25
S01727-98,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
S01131-99,>,64,=,16,<=,0.25,=,8,<=,0.5,=,2,>,128,=,0.06,<=,1,<=,0.5,<=,0.03,=,8,>,64,>,1024,>,4,>,256,>,32,=,1,>,32
S03558-99,>,64,=,8,<=,0.25,=,4,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,>,64,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
S04322-99,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
S06618-99,=,8,=,32,=,1,=,32,=,1,=,4,=,32,=,1,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,=,0.5,>,256,=,8,=,0.5,=,1
S07406-99,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,4,=,32,<=,0.12,=,32,>,32,<=,0.25,<=,0.25
S09281-99,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
S01117-00,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,=,0.25,>,256,=,32,<=,0.25,<=,0.25
S01566-00,>,64,=,16,<=,0.25,=,4,<=,0.5,=,4,>,128,=,1,<=,1,<=,0.5,<=,0.03,>,128,=,64,>,1024,>,4,>,256,>,32,=,0.5,>,32
S01761-00,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,>,32,=,0.5,=,0.5
S03883-00,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,>,32,<=,0.25,=,0.5
S06756-00,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.5,<=,1,<=,0.5,<=,0.03,>,128,=,8,>,1024,>,4,>,256,>,32,=,1,>,32
S00285-01,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,>,32,<=,0.25,<=,0.25
S00430-01,>,64,=,4,<=,0.25,=,4,<=,0.5,=,1,>,128,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,>,64,>,1024,=,0.25,>,256,=,32,<=,0.25,<=,0.25
S02202-01,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,=,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,32,>,1024,>,4,>,256,<=,4,<=,0.25,>,32
