"sample","amr","test","result"
"L00005-10","AMP","diskc","TP"
"L00005-10","CHL","diskc","TP"
"L00005-10","GEN","diskc","TN"
"L00005-10","NAL","diskc","TN"
"L00005-10","SMX","diskc","TP"
"L00005-10","STR","diskc","TN"
"L00005-10","SXT","diskc","TP"
"L00427-10","AMP","diskc","TP"
"L00427-10","CHL","diskc","TN"
"L00427-10","GEN","diskc","TN"
"L00427-10","NAL","diskc","TN"
"L00427-10","SMX","diskc","TP"
"L00427-10","STR","diskc","TN"
"L00427-10","SXT","diskc","TP"
"L00461-07","AMP","diskc","TP"
"L00461-07","CHL","diskc","TP"
"L00461-07","GEN","diskc","TN"
"L00461-07","NAL","diskc","TP"
"L00461-07","SMX","diskc","TP"
"L00461-07","STR","diskc","FP"
"L00461-07","SXT","diskc","TN"
"L00738-11","AMP","diskc","TN"
"L00738-11","CHL","diskc","TN"
"L00738-11","GEN","diskc","TN"
"L00738-11","NAL","diskc","TP"
"L00738-11","SMX","diskc","TN"
"L00738-11","STR","diskc","TN"
"L00738-11","SXT","diskc","TN"
"L00746-11","AMP","diskc","TN"
"L00746-11","CHL","diskc","TP"
"L00746-11","GEN","diskc","TP"
"L00746-11","NAL","diskc","TN"
"L00746-11","SMX","diskc","TP"
"L00746-11","STR","diskc","TN"
"L00746-11","SXT","diskc","TP"
"L00777-11","AMP","diskc","TN"
"L00777-11","CHL","diskc","TN"
"L00777-11","GEN","diskc","TN"
"L00777-11","NAL","diskc","TN"
"L00777-11","SMX","diskc","TN"
"L00777-11","STR","diskc","TN"
"L00777-11","SXT","diskc","TN"
"L00886-06","AMP","diskc","TN"
"L00886-06","CHL","diskc","TN"
"L00886-06","GEN","diskc","TN"
"L00886-06","NAL","diskc","TN"
"L00886-06","SMX","diskc","TN"
"L00886-06","STR","diskc","TN"
"L00886-06","SXT","diskc","TN"
"L00911-05","AMP","diskc","TN"
"L00911-05","CHL","diskc","TN"
"L00911-05","GEN","diskc","TN"
"L00911-05","NAL","diskc","TN"
"L00911-05","SMX","diskc","TN"
"L00911-05","STR","diskc","TN"
"L00911-05","SXT","diskc","TN"
"L01077-08","AMP","diskc","TN"
"L01077-08","CHL","diskc","TN"
"L01077-08","GEN","diskc","TN"
"L01077-08","NAL","diskc","TN"
"L01077-08","SMX","diskc","TP"
"L01077-08","STR","diskc","TN"
"L01077-08","SXT","diskc","TP"
"L01210-11","AMP","diskc","TN"
"L01210-11","CHL","diskc","TP"
"L01210-11","GEN","diskc","TN"
"L01210-11","NAL","diskc","TN"
"L01210-11","SMX","diskc","TP"
"L01210-11","STR","diskc","TP"
"L01210-11","SXT","diskc","TP"
"L01443-09","AMP","diskc","TN"
"L01443-09","CHL","diskc","TN"
"L01443-09","GEN","diskc","TN"
"L01443-09","NAL","diskc","TN"
"L01443-09","SMX","diskc","TN"
"L01443-09","STR","diskc","TN"
"L01443-09","SXT","diskc","TN"
"L02428-05","AMP","diskc","TN"
"L02428-05","CHL","diskc","TN"
"L02428-05","GEN","diskc","TN"
"L02428-05","NAL","diskc","TN"
"L02428-05","SMX","diskc","TN"
"L02428-05","STR","diskc","TP"
"L02428-05","SXT","diskc","TN"
"S00039-03","AMP","diskc","TP"
"S00039-03","CHL","diskc","TP"
"S00039-03","GEN","diskc","TN"
"S00039-03","NAL","diskc","TN"
"S00039-03","SMX","diskc","TP"
"S00039-03","STR","diskc","FN"
