"","amr","FN","FP","TN","TP","POS","NEG","PVPOS","PVNEG","sens","sens_l","sens_u","sens_pval","spec","spec_l","spec_u","spec_pval","ppv","ppv_l","ppv_u","ppv_pval","npv","npv_l","npv_u","npv_pval"
"1","AMP",2,3,42,55,57,45,58,44,0.964912280701754,0.878929336803799,0.995722105059468,2.29538610341251e-14,0.933333333333333,0.817315543421773,0.986034902955629,8.65497895574666e-10,0.948275862068966,0.856195372724655,0.989203521915705,2.25985896662451e-13,0.954545454545455,0.845268422341011,0.994447048004629,1.12663656182122e-10
"2","CHL",3,3,50,46,49,53,49,53,0.938775510204082,0.831341099297699,0.987191578681721,6.98108237884298e-11,0.943396226415094,0.843370537827625,0.988171281140866,5.51958478922641e-12,0.938775510204082,0.831341099297699,0.987191578681721,6.98108237884298e-11,0.943396226415094,0.843370537827625,0.988171281140866,5.51958478922641e-12
"3","CIP",4,0,75,23,27,75,23,79,0.851851851851852,0.662689135975756,0.958112603526233,0.000310748815536499,1,0.952004935944858,1,5.29395592033941e-23,1,0.851814871084776,1,2.38418579101562e-07,0.949367088607595,0.875405201986384,0.986033882110784,5.24346812447161e-18
"4","GEN",8,0,94,0,8,94,1,102,0,0,0.369416647552819,0.0078125,1,0.961516649002471,1,1.00974195868289e-28,0,0,0.975,1,0.92156862745098,0.851298111111727,0.965530658894837,9.43463002506105e-20
"5","NAL",5,0,74,23,28,74,23,79,0.821428571428571,0.631066650580796,0.939357091180792,0.000912234187126161,1,0.95137238376201,1,1.05879118406788e-22,1,0.851814871084776,1,2.38418579101562e-07,0.936708860759494,0.858448417382708,0.979132053853438,7.98138499769642e-17
"6","SMX",23,1,32,46,69,33,47,55,0.666666666666667,0.542881615501962,0.775632484512523,0.00762052185502569,0.96969696969697,0.842406027727503,0.999233087924952,7.91624188423158e-09,0.978723404255319,0.8870622828536,0.999461468294658,6.82121026329696e-13,0.581818181818182,0.441058410576994,0.713454754751001,0.280609717698355
"7","STR",5,6,30,61,66,36,67,35,0.924242424242424,0.831993409936283,0.974944387083277,2.63071357232969e-13,0.833333333333333,0.671884067957082,0.936279866391614,6.96016941219569e-05,0.91044776119403,0.815203833237716,0.966423011440363,1.49443727791993e-12,0.857142857142857,0.697428648309048,0.951939221596361,2.2361520677805e-05
"8","SUL",28,2,27,45,73,29,47,55,0.616438356164384,0.495206228730656,0.727913616454379,0.0603700373399289,0.931034482758621,0.772338110055514,0.991536037746998,1.6242265701294e-06,0.957446808510638,0.854594754511786,0.994804416823256,1.60440549734631e-11,0.490909090909091,0.35353620315794,0.629294654894678,1
"9","SXT",4,3,66,29,33,69,32,70,0.878787878787879,0.717983771462779,0.965967118577021,1.09286047518253e-05,0.956521739130435,0.878152850634376,0.990942392641185,1.85703503356034e-16,0.90625,0.749773049316205,0.980232819826715,2.55601480603218e-06,0.942857142857143,0.860105825902021,0.984212917846757,1.65022516322462e-15
"10","TET",3,8,37,54,57,45,62,40,0.947368421052632,0.853800935689476,0.989011744101413,4.29017932290776e-13,0.822222222222222,0.67946575660663,0.919982042542694,1.53740901964739e-05,0.870967741935484,0.761491863618209,0.942609994392978,1.70932618623679e-09,0.925,0.796135251267101,0.984257820148958,1.94650056073443e-08
"11","TRI",2,2,68,30,32,70,32,70,0.9375,0.791930570104993,0.992339263653544,2.46334820985794e-07,0.971428571428571,0.900571069907832,0.996520942928958,4.21144781374838e-18,0.9375,0.791930570104993,0.992339263653544,2.46334820985794e-07,0.971428571428571,0.900571069907832,0.996520942928958,4.21144781374838e-18
"12","Total",87,28,595,412,499,623,440,682,0.82565130260521,0.7894573998094,0.857930749752995,1.37415275907134e-51,0.955056179775281,0.935696302624446,0.969930625980263,1.88042637997929e-139,0.936363636363636,0.909338475164346,0.957301176628282,1.07064344023166e-88,0.872434017595308,0.845043979418418,0.896549253531632,6.20111669467795e-94
